5,22.98
10,25.39
15,27.52
20,29.38
25,30.87
30,32.23
35,33.41
40,34.52
45,35.4
50,36.27
55,36.94
60,37.65
65,38.33
70,38.82
75,39.31
80,39.81
85,40.25
90,40.69
95,41.24
100,41.63
105,42.03
110,42.33
115,42.72
120,43.06
125,43.33
130,43.44
135,43.9
140,44.04
145,44.32
150,44.67
155,44.83
160,45.12
165,45.28
170,45.34
175,45.68
180,45.98
185,46.14
190,46.26
195,46.53
200,46.76
205,46.98
210,47.02
215,47.55
220,47.39
225,47.7
230,47.75
235,47.82
240,47.89
245,48.09
250,48.16
255,48.3
260,48.25
265,48.5
270,48.48
275,48.56
280,48.87
285,49.02
290,48.82
295,49.05
300,49.1
305,49
310,49.51
315,49.44
320,49.48
325,49.21
330,49.4
335,49.45
340,49.57
345,49.56
350,49.83
355,49.72
360,49.86
365,49.64
370,49.78
